symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
PKB,ParkByte,2015-05-18,2015-04-29,2015-05-18,ParkByte,1,43,2,19
SHELL,ShellPay,2015-06-18,2015-05-08,2015-06-18,ShellCoin,1,50,1,41
XQN,Quotient,2014-11-23,2014-11-11,2014-11-23,CedricQuotient,1,78,2,12
XRA,Ratecoin,2015-06-26,2015-07-12,2015-06-26,presstab,1,861,2,564
TCO,TacoCoin,2014-07-21,2014-06-14,2014-07-21,bassguitarman,1,30,3,67
APEX,ApexCoin,2014-07-18,2014-07-11,2014-07-18,APEXcoin_Team,1,47,3,7
DUO,ParallelCoin,2015-10-24,2015-06-22,2015-10-24,marcetin,1,542,11,902
COV,Coven,2015-04-21,2015-04-19,2015-04-21,CovenDev,1,17,2,2
PXI,Prime-XI,2014-10-04,2014-07-20,2014-10-04,Percise,1,186,7,95
DCR,DeltaCredits,2015-08-30,2015-08-18,2015-08-30,Gladimor,1,268,3,515
RIN,Ringo,2014-08-02,2014-05-23,2014-08-02,homhomhom,1,91,1,147
TIT,Titcoin,2014-08-25,2014-06-21,2014-08-25,RobertTitCoin,1,28,2,204
UIS,Unitus,2015-01-12,2014-12-21,2015-01-12,neuroMode,1,450,56,388
LDOGE,LiteDoge,2015-03-19,2015-06-01,2015-03-19,heavensopen,1,0,0,-45
LYB,Lyrabar,2015-11-16,2015-01-28,2015-11-16,Lyrabar,1,77,1,292
LTD,LimitedCoin,2015-09-15,2015-09-11,2015-09-15,LimitedDev,1,13,1,8
BITUSD,bitUSD,2014-09-23,2014-08-22,2014-09-23,ChuckOne,1,641,16,243
IOC,I/O Coin,2014-08-02,2014-07-15,2014-08-02,IO Dev Team,1,28,1,18
RIC,Riecoin,2014-02-27,2013-09-05,2014-02-27,gatra,1,115,5,243
CHA,Chancecoin,2014-05-20,2014-03-23,2014-05-20,magician,1,35,1,58
INDEX,CoinoIndex,2015-06-18,2015-07-21,2015-06-18,sasha35625,1,36,2,220
HAL,Halcyon,2014-08-19,2014-08-16,2014-08-19,halcyondev,1,19,1,3
MRY,Murraycoin,2014-03-03,2014-01-20,2014-03-03,bholzer,1,294,3,216
URC,Unrealcoin,2015-03-31,2015-03-23,2015-03-31,USER211,1,19,1,8
BOST,BoostCoin,2014-05-30,2014-05-09,2014-05-30,mammix2,1,531,14,100
MMNXT,MMNXT,2014-10-22,2015-01-20,2014-10-22,Nxtblg,1,1068,14,235
URO,Uro,2014-06-12,2014-05-08,2014-06-12,true-asset,1,192,6,35
XAU,Xaurum,2015-04-21,2015-02-27,2015-04-21,Aurum Project,1,35,1,53
DASH,Dash,2014-02-14,2014-01-18,2014-02-14,eduffield,1,157,9,253
XAI,Sapience AIFX,2014-12-25,2014-11-19,2014-12-25,CedricQuotient,1,141,2,44
TRMB,TRMB,2015-05-25,2015-06-30,2015-05-25,godda04,1,186,0,314
P7C,P7Coin,2015-04-17,2015-05-10,2015-04-17,Power7-Dev,1,0,0,-23
NXE,NXE,2015-03-22,2015-03-05,2015-03-22,NXE,1,80,1,17
BNB,BnB Coin,2015-06-08,2015-06-03,2015-06-08,Bnbdevteam,1,12,1,5
QBK,Qibuck,2014-08-17,2014-07-27,2014-08-17,qiwoman2,1,659,4,71
THC,HempCoin,2014-06-28,2014-03-08,2014-06-28,HempCoin,1,64,1,112
DIGS,Diggits,2015-07-16,2015-07-03,2015-07-16,DIGGITSquad,1,1,1,13
TENNET,TenneT,2015-08-10,2015-06-19,2015-08-10,TenneT,1,18,1,52
VIA,Viacoin,2014-07-18,2014-07-18,2014-07-18,btcdrak,1,196,5,410
OK,OKCash,2014-12-14,2015-04-17,2014-12-14,OKtoshi,1,0,0,-124
SIB,SIBCoin,2015-09-25,2015-10-01,2015-09-25,hot,1,0,0,-6
CRAIG,CraigsCoin,2014-09-30,2014-09-12,2014-09-30,CraigsCoin,1,52,2,18
HNC,Helleniccoin,2015-07-21,2015-02-08,2015-07-21,helleniccoin,1,2,1,163
SFR,SaffronCoin,2014-06-15,2014-04-27,2014-06-15,saffroncoin,1,362,1,49
BVC,BeaverCoin,2014-10-04,2014-08-29,2014-10-04,Sumpfbiene,1,114,4,242
MAID,MaidSafeCoin,2014-04-28,2014-04-19,2014-04-28,Chang Hum,1,238,1,604
NTRN,Neutron,2015-04-21,2015-04-25,2015-04-21,TeamNeutron,1,0,0,0
SCOT,Scotcoin,2014-05-26,2014-04-10,2014-05-26,retrend,1,67,1,250
LXC,Librexcoin,2014-08-05,2014-07-21,2014-08-05,Librexcoindev,1,55,1,15
FETISH,Fetish,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
MZC,MazaCoin,2014-02-27,2014-03-05,2014-02-27,crazyearner,1,278,25,492
JUDGE,Judgecoin,2014-07-08,2014-06-26,2014-07-08,judgecrypto,1,220,8,61
NAV,Navajo,2014-06-12,2014-07-06,2014-06-12,SUM2dev,1,0,0,-11
NIRO,Nexus,2015-01-25,2014-06-19,2015-01-25,KryptoKash,1,84,2,220
BTCRY,BitCrystal,2015-03-22,2015-02-24,2015-03-22,bitcrystal,1,141,7,142
SPEC,SPEC,2015-07-27,2015-06-28,2015-07-27,SpecDevelopment,1,40,1,29
ICASH,iCash,2015-03-27,2015-03-19,2015-03-27,cryptodev35,1,70,1,8
DEX,InstantDEX,2014-09-14,2014-07-09,2014-09-14,Azeh,1,92,3,195
GREXIT,Grexit,2015-07-23,2015-07-17,2015-07-23,grexitcoin,1,2,1,6
CRW,CrownCoin,2014-11-08,2014-10-07,2014-11-08,jeliman,1,33,3,314
EMC,EmerCoin,2014-08-23,2013-12-08,2014-08-23,Fixx,1,76,4,476
FIBRE,Fibre,2014-08-30,2014-08-13,2014-08-30,killakem,1,179,3,60
OC,OrangeCoin,2014-05-13,2014-04-23,2014-05-13,Orangecoin,1,59,1,20
BELA,BellaCoin,2014-03-20,2014-01-29,2014-03-20,twoturtles,1,28,2,50
CHIP,ChipCoin,2015-08-04,2015-07-25,2015-08-04,Chips,1,51,1,10
XLB,Libertycoin,2014-05-13,2014-05-08,2014-05-13,Libertycoin,1,67,6,62
NXTCOINSCO,Tradebots,2014-10-04,2014-08-30,2014-10-04,jl777,1,566,7,285
CGN,KolschCoin,2015-04-21,2015-04-10,2015-04-21,TillKoeln,1,415,4,422
DETH,DarkEther,2015-08-10,2015-08-09,2015-08-10,DarkEther,1,5,1,1
DEM,Deutsche eMark,2013-12-14,2013-10-15,2013-12-14,Bzzzum,1,28,1,60
QSLV,Quicksilver,2014-11-13,2014-10-31,2014-11-13,QuicksilverCoin,1,40,2,18
COINO,CoinoUSD,2014-12-25,2015-03-23,2014-12-25,coinomat.com,1,31,6,308
SCRT,SecretCoin,2015-11-16,2015-08-25,2015-11-16,TeamSecret,1,105,1,83
UNC,UNCoin,2015-03-22,2015-03-07,2015-03-22,invt2424,1,1,1,15
XSI,StabilityShares,2014-04-23,2014-04-16,2014-04-23,cryptonewbie,1,165,6,62
VIOR,Viorcoin,2014-11-23,2015-05-07,2014-11-23,MikeMike,1,65,0,254
ZNY,Bitzeny,2015-07-09,2014-11-07,2015-07-09,bitzeny,1,2,1,244
BLOCK,Blocknet,2014-11-01,2014-10-20,2014-11-01,synechist,1,327,2,421
TRON,Positron,2015-04-14,2015-04-11,2015-04-14,positrondev,1,23,1,3
NEU,NeuCoin,2015-09-25,2015-02-03,2015-09-25,Sandrine89,1,33,2,234
MUSE,MUSE,2015-05-07,2015-10-23,2015-05-07,StanLarimer,1,398,1,258
SLING,Sling,2015-04-21,2015-04-20,2015-04-21,DG.Slayer,1,3,1,1
KORE,KoreCoin,2014-06-21,2014-06-28,2014-06-21,Eurbids,1,0,0,-7
PLNC,PLNcoin,2014-04-15,2014-03-10,2014-04-15,WalutowyKrol,1,17,1,84
PTC,Pesetacoin,2014-02-22,2014-01-07,2014-02-22,CryptoMP,1,154,10,69
CRAVE,Crave,2015-03-26,2015-03-20,2015-03-26,industrialcoinmagic,1,33,1,6
CAIX,CAIx,2014-04-15,2014-03-13,2014-04-15,Caishen_Project,1,20,1,33
ROX,ROXcoin,2014-07-01,2014-06-28,2014-07-01,Roxcoin,1,23,1,3
BUK,CryptoBuck,2014-10-04,2013-08-31,2014-10-04,CryptoBuck,1,114,6,411
PSEUD,PseudoCash,2014-07-21,2014-07-03,2014-07-21,pseudocoin,1,74,3,18
CAID,Coinaid,2015-09-15,2015-09-05,2015-09-15,crunck,1,600,15,474
SANDG,Save and Gain,2015-10-12,2015-06-16,2015-10-12,crunck,1,695,15,501
XDQ,Dirac,2014-05-26,2014-05-19,2014-05-26,coinweaver,1,76,4,101
XDP,Dogeparty,2014-08-28,2014-07-23,2014-08-28,dogeparty,1,1,1,36
BUB,Bubble,2015-05-07,2015-05-01,2015-05-07,MakingBubbles,1,48,1,7
OSC,OpenSourcecoin,2014-03-15,2013-08-06,2014-03-15,r3wt,1,2662,86,307
PTS,BitShares PTS,2013-11-21,2013-11-05,2013-11-21,FreeTrade,1,561,32,782
MNE,Munne,2014-10-25,2014-09-26,2014-10-25,Mchrono,1,98,2,30
WS,Woodshares,2015-07-02,2015-04-12,2015-07-02,KrLos,1,227,7,866
8BIT,8Bit,2015-04-18,2015-04-17,2015-04-18,8bitproject,1,1,1,1
TRI,Triangles,2014-07-21,2014-07-16,2014-07-21,3angle,1,12,1,5
USDE,USDe,2014-02-06,2014-01-11,2014-02-06,USD-e,1,87,7,26
TRK,Truckcoin,2014-07-16,2014-07-29,2014-07-16,noise23,1,89,0,136
TAGR,TAGRcoin,2015-07-16,2015-06-18,2015-07-16,Tagr.Dev,1,43,1,28
SKB,SkullBuzz,2015-10-14,2015-05-20,2015-10-14,SkullBuzz,1,23,1,147
CAPT,CAPTcoin,2014-08-20,2014-07-09,2014-08-20,EcuaMobi,1,499,8,266
UNIC,UniCoin,2015-06-14,2013-12-30,2015-06-14,Teamunicoin,1,36,1,531
TRC,Terracoin,2013-04-28,2012-10-31,2013-04-28,celkaris,1,107,8,179
DOGED,DogeCoinDark,2014-10-25,2014-10-09,2014-10-25,Dogedarkdev,1,46,2,16
WOP,WorldPay,2015-10-12,2015-10-07,2015-10-12,WorldPay,1,25,1,5
GCN,GCoin,2014-11-16,2014-04-04,2014-11-16,Mr G,1,20,1,226
GCC,GuccioneCoin,2015-08-20,2015-06-25,2015-08-20,GCCTeam1,1,80,1,56
SHA,SHACoin,2014-06-25,2014-03-17,2014-06-25,matt4054,1,168,4,468
SJCX,Storjcoin X,2014-08-20,2014-07-20,2014-08-20,Storj,1,28,1,64
KOBO,Kobocoin,2015-02-15,2015-01-11,2015-02-15,TheTribesman,1,328,7,428
EFL,Electronic Gulden,2014-03-26,2014-03-19,2014-03-26,ElectronicGulden,1,53,2,7
VCN,Vcoin,2015-06-10,2015-05-13,2015-06-10,chrisvl,1,122,4,310
SHF,Shift,2015-09-05,2015-08-17,2015-09-05,ShiftTeam,1,169,1,19
RT2,RotoCoin,2014-03-29,2014-03-15,2014-03-29,Rotocoin,1,101,2,14
PMP,PreminePlus,2014-10-20,2014-07-02,2014-10-20,TheMightyX,1,880,4,470
SPRTS,Sprouts,2015-07-21,2015-06-30,2015-07-21,MrEggman,1,50,1,21
CLV,CleverCoin,2015-05-13,2015-05-08,2015-05-13,clevercryptodev,1,14,1,5
UNIT,Universal Currency,2015-05-07,2015-04-25,2015-05-07,carboncredit,1,26,3,49
COOL,CoolCoin,2014-06-28,2014-05-08,2014-06-28,CoolloveCoin,1,10,2,51
ULTC,Umbrella-LTC,2014-08-31,2014-07-12,2014-08-31,Umbrella Holdings,1,173,3,50
STHR,Stakerush,2015-09-14,2015-08-25,2015-09-14,stakerush,1,34,1,20
BTQ,BitQuark,2014-07-29,2014-02-15,2014-07-29,BitQuark,1,340,1,164
BTS,BitShares,2014-07-21,2013-05-31,2014-07-21,bytemaster,1,534,24,1454
ANC,Anoncoin,2013-07-14,2013-06-06,2013-07-14,meeh,1,83,3,76
CBIT,CryptBit,2015-10-01,2015-09-23,2015-10-01,CryptBit,1,20,1,8
XCH,ClearingHouse,2014-10-04,2014-08-11,2014-10-04,btcdrak,1,406,9,488
SSV,SSVCoin,2014-09-07,2014-06-22,2014-09-07,SSVCoin,1,14,1,77
XCN,Cryptonite,2014-08-02,2014-07-18,2014-08-02,Cryptonite XCN,1,3,1,15
XCO,X-Coin,2015-03-06,2015-02-26,2015-03-06,el3ab,1,27,1,8
FUND,Cryptofund,2015-09-21,2015-09-03,2015-09-21,sasha35625,1,68,5,315
ENRG,Energycoin,2014-05-15,2014-04-29,2014-05-15,energycr,1,123,1,16
HIRO,Hirocoin,2014-03-26,2014-04-13,2014-03-26,dupee419,1,229,3,211
XCP,Counterparty,2014-02-15,2014-01-02,2014-02-15,PhantomPhreak,1,147,1,44
GCR,Global Currency Reserve,2015-08-26,2015-08-19,2015-08-26,gcrgcr,1,1,1,7
BTA,Bata,2015-05-29,2015-04-28,2015-05-29,pc888,1,262,4,453
FRSH,FreshCoin,2014-08-22,2014-06-30,2014-08-22,savale,1,281,5,243
BTB,BitBar,2013-05-09,2013-05-02,2013-05-09,xorxor,1,317,9,128
BTM,Bitmark,2014-08-19,2014-06-21,2014-08-19,coinsolidation,1,569,37,65
XCASH,XCash,2014-09-11,2014-09-01,2014-09-11,johnnyxcash,1,28,1,10
JLH,jl777hodl,2014-07-23,2014-07-18,2014-07-23,EvilDave,1,459,3,219
IVZ,InvisibleCoin,2015-10-12,2015-10-09,2015-10-12,scat,1,5,1,164
HZ,Horizon,2014-07-14,2014-10-14,2014-07-14,Pizpie,1,48,0,54
BCN,Bytecoin,2014-06-17,2014-03-12,2014-06-17,DStrange,1,110,4,141
JBS,Jumbucks,2014-09-07,2014-09-01,2014-09-07,jyap,1,28,1,113
XSEED,BitSeeds,2015-04-21,2015-09-28,2015-04-21,worth,1,194,1,473
GIVE,GiveCoin,2015-02-20,2014-08-16,2015-02-20,TheLittleDuke,1,204,13,1091
BCF,BitcoinFast,2014-12-06,2014-12-03,2014-12-06,BitCoinFastTeam,1,14,1,3
SWING,Swing,2015-09-28,2015-08-28,2015-09-28,murderouskirk,1,600,12,658
CHAO,23 Skidoo,2015-07-25,2014-03-22,2015-07-25,gxsbk,1,38,1,696
DVC,Devcoin,2013-04-28,2011-08-05,2013-04-28,Unthinkingbit,1,256,2,684
SPHR,Sphere,2015-05-02,2015-04-30,2015-05-02,ChronoSphereDev,1,9,1,2
UTIL,UtilityCoin,2014-09-30,2014-09-26,2014-09-30,utilitycoin,1,9,1,4
ACP,AnarchistsPrime,2015-07-13,2015-03-24,2015-07-13,ACP,1,70,5,111
BCX,BattleCoin,2014-01-31,2014-01-11,2014-01-31,jackofall1232,1,144,15,194
BCY,Bitcrystals,2015-09-14,2015-02-16,2015-09-14,hnin,1,101,4,210
FIST,FistBump,2015-06-08,2015-06-01,2015-06-08,FistBump,1,63,2,7
ISL,IslaCoin,2015-09-28,2015-05-05,2015-09-28,isladev,1,55,2,146
ETH,Ethereum,2015-08-07,2014-01-12,2015-08-07,tacotime,1,1967,53,1452
SILK,Silkcoin,2014-05-11,2014-02-12,2014-05-11,silkcoinproject,1,2,1,88
FLDC,FoldingCoin,2014-09-16,2014-09-13,2014-09-16,FoldingCoin,1,47,3,72
BCR,Bitcredits,2015-03-29,2014-12-17,2015-03-29,bitcreditscc,1,495,9,103
CON,PayCon,2015-02-15,2015-01-02,2015-02-15,muddafudda,1,1362,40,660
DGB,DigiByte,2014-02-06,2014-01-10,2014-02-06,DigiByte,1,166,12,39
PLANET,PlanetCoin,2015-03-22,2015-03-04,2015-03-22,planetcoin,1,65,2,22
ECC,ECCoin,2014-03-20,2014-03-06,2014-03-20,hostmaster,1,965,44,110
CRT,CRTCoin,2014-05-11,2014-04-03,2014-05-11,digitaldj,1,1,1,38
LTBC,LTBcoin,2014-08-20,2014-07-27,2014-08-20,crackerhead,1,143,1,201
GEMZ,GetGems,2015-01-12,2014-08-26,2015-01-12,peled1986,1,302,1,367
CASH,Cashcoin,2014-02-27,2014-01-20,2014-02-27,CryptoCashNow,1,111,7,38
GRAV,Graviton,2015-05-04,2015-05-02,2015-05-04,gravitondev,1,10,1,2
KDC,KlondikeCoin,2014-02-02,2014-01-09,2014-02-02,KlondikeCoin,1,144,11,24
VRC,VeriCoin,2014-05-16,2014-05-09,2014-05-16,effectsToCause,1,76,1,7
BKS,BlockShares,2015-09-09,2015-04-30,2015-09-09,BCExchange,1,4,1,135
BITZ,Bitz,2015-03-08,2015-11-01,2015-03-08,EBK1000,1,290,6,404
KUMA,Kumacoin,2014-08-02,2014-04-26,2014-08-02,kumacoinproject,1,1,1,98
QORA,Qora,2014-05-26,2014-03-19,2014-05-26,qora,1,74,1,68
XST,Stealthcoin,2014-07-10,2014-05-25,2014-07-10,stealthdev,1,7,1,46
C2,Coin2.1,2014-06-08,2014-02-23,2014-06-08,joel511,1,162,7,105
TES,TeslaCoin,2014-02-06,2014-01-17,2014-02-06,Trafficlearn,1,172,21,59
BITS,Bitstar,2014-04-23,2014-04-17,2014-04-23,Bitstar_coin,1,53,1,6
IBITS,iBits,2015-07-27,2015-07-13,2015-07-27,iBITS,1,1,1,14
JKC,Junkcoin,2013-06-14,2013-06-16,2013-06-14,the1silverwolf,1,293,12,38
VTA,Virtacoin,2014-08-09,2014-08-11,2014-08-09,VirtaCoinDev,1,0,0,-2
VIRAL,Viral,2015-05-08,2015-04-28,2015-05-08,ViralDev,1,111,1,10
FRDC,FreedomCoin,2015-09-21,2015-09-06,2015-09-21,placebo,1,6889,159,623
FAIR,FairCoin,2014-03-22,2014-05-08,2014-03-22,Gladimor,1,0,0,-11
NKA,IncaKoin,2015-01-28,2015-01-23,2015-01-28,madross,1,25,1,176
XC,XCurrency,2014-05-23,2014-05-29,2014-05-23,Teka,1,318,11,416
RBBT,RabbitCoin,2014-08-30,2014-02-15,2014-08-30,rabbitcointeam,1,33,1,196
J,Joincoin,2014-08-25,2014-08-13,2014-08-25,Love_of_Algo,1,25,1,12
HEX,Heisenberg,2014-03-15,2014-02-22,2014-03-15,Heisenbergprime,1,8,1,21
CF,Californium,2015-04-21,2015-04-17,2015-04-21,cfdev,1,9,1,4
EUC,Eurocoin,2015-08-23,2014-03-04,2015-08-23,deeppurple72,1,373,74,784
CLOAK,CloakCoin,2014-06-06,2014-06-03,2014-06-06,TheDagger,1,43,2,6
UNB,UnbreakableCoin,2014-05-23,2014-03-27,2014-05-23,jimblasko,1,66,5,57
VTR,vTorrent,2014-12-25,2014-12-11,2014-12-25,vtorrent,1,75,1,14
COMM,CommunityCoin,2014-04-15,2014-03-25,2014-04-15,communitycoin,1,128,3,21
ADC,AudioCoin,2015-06-05,2015-06-13,2015-06-05,cryptobloguk,1,3,0,333
DIEM,CarpeDiemCoin,2014-04-28,2014-03-13,2014-04-28,Carpe Diem Coin,1,354,11,46
ADN,Aiden,2014-04-15,2014-04-05,2014-04-15,defaced,1,1146,29,1139
MARYJ,MaryJane,2014-10-04,2014-09-23,2014-10-04,MaryJ,1,22,1,11
IEC,IvugeoCoin,2015-04-29,2015-04-16,2015-04-29,IvugeoEvolutionCoin,1,29,1,13
ELT,Electron,2014-06-12,2014-05-25,2014-06-12,electron-coin,1,17,1,18
MED,MediterraneanCoin,2014-10-22,2014-01-03,2014-10-22,smallplatf,1,261,3,441
DRS,Denarius,2014-06-15,2014-05-01,2014-06-15,Nthused,1,988,16,166
PLS,PLAY,2015-10-12,2014-12-25,2015-10-12,dacplay,1,6,1,291
OZC,Ozziecoin,2015-07-23,2014-04-21,2015-07-23,Ozziecoin,1,213,2,458
SNRG,Synergy,2015-06-08,2015-05-26,2015-06-08,Grandpa Jones,1,159,1,13
UFO,UFO Coin,2014-02-27,2014-01-05,2014-02-27,UFO Coin,1,83,14,53
MEM,Memecoin,2013-06-09,2013-05-27,2013-06-09,muddafudda,1,241,9,44
XEM,NEM,2015-03-31,2014-06-16,2015-03-31,ournem,1,1,1,288
HVC,Heavycoin,2014-03-12,2014-02-17,2014-03-12,keccak512,1,242,2,297
XCE,Cerium,2015-06-10,2015-06-06,2015-06-10,Cerium,1,21,1,4
NAUT,NautilusCoin,2014-05-15,2014-05-01,2014-05-15,BK_PHI,1,80,1,14
SMLY,SmileyCoin,2015-01-28,2014-11-04,2015-01-28,gstefans,1,56,1,85
LEO,LEOcoin,2015-08-04,2015-01-07,2015-08-04,leocoin2015,1,8,3,209
CIRC,CryptoCircuits,2015-06-18,2015-05-31,2015-06-18,CryptoCircuits,1,31,2,18
CS,CryptoSpots,2015-08-04,2015-02-28,2015-08-04,xPooky,1,797,2,325
GDC,GrandCoin,2013-12-17,2013-07-13,2013-12-17,Grandcoin,1,28,10,157
BILS,BilShares,2014-08-25,2014-08-08,2014-08-25,starteam,1,4,2,17
NMC,Namecoin,2013-04-28,2011-04-29,2013-04-28,khal,1,200,14,795
KEY,KeyCoin,2014-07-18,2014-07-15,2014-07-18,keycoin,1,15,1,3
INFX,Influxcoin,2015-09-15,2015-08-25,2015-09-15,Coryvmcs1,1,69,12,40
MAZE,MazeCoin,2015-10-19,2015-09-24,2015-10-19,plastcom,1,100,1,62
FLY,Flycoin,2015-09-14,2015-08-17,2015-09-14,vegasguy,1,1076,4,447
DEBUNE,DeBuNe,2015-02-06,2014-12-30,2015-02-06,capodieci,1,2,1,38
BRC,Biebercoin,2015-07-21,2014-06-02,2015-07-21,Omega6,1,42,4,482
MYST,MysteryCoin,2015-02-06,2015-01-29,2015-02-06,solacedev,1,25,1,8
SLFI,Selfiecoin,2015-03-22,2015-03-05,2015-03-22,freedomsr40,1,149,7,175
AMS,AmsterdamCoin,2015-08-20,2015-08-14,2015-08-20,keesdewit,1,91,2,59
MNTA,Moneta,2014-08-30,2014-08-13,2014-08-30,MonetaCoin,1,24,1,17
RUBIT,RubleBit,2015-11-23,2015-11-10,2015-11-23,Rublebit,1,30,1,13
XWT,World Trade Funds,2014-10-26,2014-10-20,2014-10-26,wtfdev,1,10,1,6
DIG,Digit,2014-06-28,2014-05-06,2014-06-28,DSF,1,110,1,68
BRE,BREAKcoin,2015-09-08,2015-08-24,2015-09-08,breakcoindev,1,62,2,15
BTX,BitcoinTX,2015-04-26,2015-04-27,2015-04-26,placebo,1,5526,153,475
HYP,HyperStake,2014-08-09,2014-07-06,2014-08-09,presstab,1,685,2,243
BITSILVER,bitSilver,2015-02-25,2015-01-14,2015-02-25,matt608,1,474,16,705
WBB,WildBeastBitcoin,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
SHND,StrongHands,2015-10-30,2015-09-28,2015-10-30,JacksonBriggs,1,33,2,34
AXIOM,Axiom,2015-07-30,2015-07-26,2015-07-30,AxiomCryptocurrency,1,73,1,4
DT,DarkToken,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
MSC,Mastercoin,2013-12-24,2013-06-24,2013-12-24,MstCoin,1,48,5,183
XWC,WhiteCoin,2014-04-18,2014-09-30,2014-04-18,WhitecoinFoundation,1,0,0,-165
AIB,AIB,2015-04-30,2015-04-11,2015-04-30,aib,1,6,1,19
CESC,CryptoEscudo,2014-04-03,2014-03-20,2014-04-03,cryptoescudo,1,17,1,14
CYP,Cypher,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
DGCS,Digital Credits,2015-11-16,2015-11-01,2015-11-16,intristin,1,136,10,47
CYT,Cryptokenz,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
MAPC,MapCoin,2015-09-08,2015-08-21,2015-09-08,thimo,1,441,4,634
ARCH,ARCHcoin,2014-10-06,2014-08-24,2014-10-06,BTCarchitect,1,96,2,191
EAC,EarthCoin,2013-12-28,2013-12-20,2013-12-28,earthcoin,1,30,3,8
JAY,Jay,2015-04-17,2015-04-02,2015-04-17,jones_,1,26,2,90
MRKT,FreeMarket,2014-09-23,2014-07-11,2014-09-23,cloudboy,1,123,8,211
ARB,ARbit,2015-05-21,2015-05-08,2015-05-21,ARbit,1,57,1,13
POP,PopularCoin,2014-04-23,2014-02-02,2014-04-23,cryptojette,1,111,21,84
GAP,Gapcoin,2014-11-01,2014-06-11,2014-11-01,j0nn9,1,68,2,143
CYC,Conspiracycoin,2014-07-05,2014-04-30,2014-07-05,ConspiracyCoin,1,175,3,66
BOLI,Bolivarcoin,2015-09-08,2015-08-15,2015-09-08,bolivarcoin,1,31,3,31
RPC,RonPaulCoin,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,213,24,211
PXL,Phalanx,2015-04-07,2015-03-10,2015-04-07,PLX_Dev,1,42,1,28
NSR,NuShares,2014-10-25,2014-09-23,2014-10-25,toast,1,68,7,1187
DUB,Dubstep,2015-06-30,2015-06-05,2015-06-30,DUBSTEP-DEV,1,41,1,25
BOD,Bloodcoin,2015-06-18,2015-06-16,2015-06-18,SalimNagamato,1,1054,3,356
NOXT,NobleNXT,2014-12-06,2014-10-31,2014-12-06,Rofo,1,403,9,349
UTC,UltraCoin,2014-02-09,2014-01-13,2014-02-09,bumface,1,110,1,36
AC,AsiaCoin,2014-04-20,2014-05-04,2014-04-20,Maestro1,1,20,0,15
GOOD,GoodCoin,2014-06-08,2014-04-21,2014-06-08,Seefude,1,229,4,146
